Key,Value,T
102,"You have contracted Yellow Fever.[/center]
Your endurance, willpower, and health[/center]
will decline every day until you find[/center]
a cure or die.[/center]
[/end]","您已经收缩黄热病;[/center] 
 您的耐力.意志力和健康[/center] 
 每天都会下降.直到找到[/center] 
 治疗或死亡; 
 [/end]"
103,"You have contracted Stomach Rot.[/center]
It is a permanent condition, unless[/center]
you are cured, characterized by a[/center]
slight daily drop in health.[/center]
[/end]","您已经收缩了胃腐烂;[/center] 
 除非[/center].否则这是一个永久条件 
 您已治愈.以[/center]为特征 
 每天的健康状况下降;[/center] 
 [/end]"
104,"You have contracted Consumption.[/center]
Your willpower, agility, and strength[/center]
will slowly leave you, until you are[/center]
cured or you die.[/center]
[/end]","您已经收缩了消费;[/center] 
 您的意志力.敏捷性和力量[/center] 
 会慢慢离开您.直到您[/center] 
 治愈或死亡;[/center] 
 [/end]"
105,"You have contracted Brain Fever.[/center]
It is a slow death, as your willpower,[/center]
your health, even your personality trickle[/center]
away, day by day. You must either get a[/center]
cure or face oblivion.[/center]
[/end]","您已经感染了大脑热; 
 这是一个缓慢的死亡.因为您的意志力.[/center] 
 您的健康.甚至您的个性trick [/center] 
 日常.一天; 您必须获得[/center] 
 治愈或面部遗忘;[/center] 
 [/end]"
106,"You have contracted Swamp Rot.[/center]
Every day your willpower, agility,[/center]
and strength will fall, until you[/center]
waste away or are cured.[/center]
[/end]","您已经收缩了沼泽腐烂;[/center] 
 每天您的意志力.敏捷性.[/center] 
 力量将下降.直到您[/center] 
 浪费或治愈; 
 [/end]"
107,"You have contracted Caliron's Curse.[/center]
Some people have recovered by themselves[/center]
in a week or two, but their strength,[/center]
speed, and agility remain stunted. It[/center]
is best to cure the disease quickly.[/center]
[/end]","您已经收缩了Caliron的诅咒;[/center] 
 有些人自己恢复了 
 一两个星期内.但它们的强度.[/center] 
 速度和敏捷性保持阻碍; 它[/center] 
 最好快速治愈疾病;[/center] 
 [/end]"
108,"You have contracted Cholera,[/center]
one of the deadliest diseases in[/center]
Tamriel and always fatal unless help[/center]
is given very, very quickly.[/center]
[/end]","您已经收缩了霍乱.[/center] 
 [/center]中最致命的疾病之一 
 tamriel和总是致命的 
 给出非常非常非常快的; 
 [/end]"
109,"You have contracted Leprosy[/center]
and will slowly waste away, a little[/center]
bit every day, unless you are cured.[/center]
[/end]","您已经收缩麻风病[/center] 
 并会慢慢浪费.一点[/center] 
 除非您被治愈; 
 [/end]"
110,"You have contracted Wound Rot,[/center]
which will very slowly erode your[/center]
strength, endurance, and health[/center]
until you cure yourself.[/center]
[/end]","您已经收缩了伤口腐烂.[/center] 
 它将非常缓慢地侵蚀您的[/center] 
 强度.耐力和健康 
 直到您治愈自己为止;[/center] 
 [/end]"
111,"You have contracted Red Death,[/center]
a very serious disease which can[/center]
quickly decimate a victim's endurance[/center]
and even destroy personality until[/center]
a cure is given or the victim[/center]
dies.[/center]
[/end]","您已经收缩了红色死亡.[/center] 
 一种非常严重的疾病.可以[/center] 
 迅速消除受害者的耐力[/center] 
 甚至破坏个性.直到[/center] 
 给予治愈或受害者[/center] 
 死亡;[/center] 
 [/end]"
