Key,Value
22,"您在%cn。[/center]
%dat 上的 %tim。[/center]
在%crn定律看来，[/center]
你是%ltn。[/center]
[/结尾]","You are in %cn.[/center]
It is %tim on %dat.[/center]
In the eyes of the law of %crn,[/center]
you are %ltn.[/center]
[/end]"
297,"我向 [/center] 银行索取赏金
%reg！您拖欠贷款并且[/center]
现在必须缴纳罚款！[/center]
[/结尾]","I claim bounty for the bank of[/center]
%reg! You have defaulted on your loan and[/center]
must now pay the penalty![/center]
[/end]"
12,你的法术书中没有法术。[/end],You have no spells in your spellbook.[/end]
13,"[/center] 附近没有地方
地图上的那个名字。[/center]
[/结尾]","There is no place by[/center]
that name on your map.[/center]
[/end]"
101,"你感染了鼠疫，[/center]
一种非常严重、往往致命的疾病。[/center]
很快就会传播开来[/center]
你的系统。感染者很少[/center]
住了几天多了[/center]
除非能很快治愈。[/center]
[/结尾]","You have contracted the Plague,[/center]
a very serious, often fatal disease.[/center]
Very quickly it will spread through[/center]
your system. Few who contracted it[/center]
live for more than a few days[/center]
unless they are cured quickly.[/center]
[/end]"
707,"接下来的几天你会发现[/center]
玛拉增强了你天生的智慧和魅力。[/结束]","You will find that for the next few days[/center]
Mara has strengthened your natural wit and charm.[/end]"
1364,"钝器武器是一项技能，每次都会检查[/center]
用重型钝器攻击目标[/center]
例如狼牙棒或权杖。精通钝器[/center]
武器专家有更大的机会[/center]
击中并每次打击造成更多伤害。[/center]
[/结尾]","Blunt Weapon is a skill checked whenever one[/center]
strikes a target with a heavy, blunt weapon[/center]
such as a mace or a staff. Proficient Blunt[/center]
Weapon specialists have a greater chance of[/center]
hitting and cause more damage with each blow.[/center]
[/end]"
2,"意志力[/中心]
意志力决定对法术效果的抵抗力[/左]
以及提高意志力相关技能的容易程度。[/左]
以你%wil的意志力，你被认为是%ark。[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]修饰符会影响你的魔法抗性。[/left]
[/结尾]","WILLPOWER[/center]
Willpower governs resistance to spell effects[/left]
and the ease of increasing willpower-related skills.[/left]
With your willpower of %wil, you are considered %ark.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]modifier is factored into your magical resistance.[/left]
[/end]"
283,"恭喜！您已购买了[/center]
坚固的船只能够运送你[/中心]
髂湾内的任何地方。[/结束]","Congratulations! You have purchased a[/center]
sturdy vessel capable of ferrying you[/center]
anywhere within the Iliac Bay.[/end]"
288,"%pcn，您已默认[/center]
先前向该银行贷款。我们会[/中心]
任何情况下都不借钱给你。[/center]
也许你可以去一些地方的银行[/center]
%reg 和[/center] 以外的地方
试图欺骗他们。[/center]
[/结尾]","%pcn, you have defaulted[/center]
on a prior loan with this bank. We will[/center]
not lend you money under any circumstances.[/center]
Perhaps you could go to a bank in some[/center]
place other than %reg and[/center]
attempt to swindle them.[/center]
[/end]"
