Key,Value,T
weaponSwingModes,"Vanilla
Click
Hold","香草 
 点击 
 抓住"
mouseLookSmoothingStrengths,"None
Lowest
Low
Medium
High
Highest","没有任何 
 最低 
 低的 
 中等的 
 高的 
 最高"
configureAdvancedControls,Configure Advanced Controls,配置高级控件
continueUpper,CONTINUE,继续
mouseLookSmoothing,Mouse Look Smoothing,鼠标看起来平滑
mouseLookSensitivity,Mouse Look Sensitivity,鼠标看起来敏感
invertLookY,Invert Look-Y,倒看
movementAcceleration,Movement Acceleration,运动加速度
weaponSwingMode,Weapon Swing Mode,武器摆动模式
bowDrawback,Bows - draw and release,弓 - 画和释放
toggleSneak,Toggle Sneak,切换偷偷摸摸
mouseWeaponAttackThreshold,Mouse Weapon Attack Threshold,鼠标武器攻击阈值
Escape,Escape,逃脱
AutoRun,AutoRun,汽车
ToggleConsole,Console,安慰
PrintScreen,Screenshot,截屏
QuickSave,QuickSave,快速保存
QuickLoad,QuickLoad,Quickload
close,Close,关闭
dungeonTextureModes,"Classic
Climate
Climate Only
Random
Random Only","经典的 
 气候 
 仅气候 
 随机的 
 仅随机"
cameraRecoilStrengths,"Off
Low (25%)
Medium (50%)
High (75%)
V. High(100%)","离开 
 低（25％） 
 培养基（50％） 
 高（75％） 
 V.高（100％）"
interactionModeIconModes,"None
Minimal
Large
Classic
Colour
Monochrome
Classic Crosshair
Colour Crosshair","没有任何 
 最小 
 大的 
 经典的 
 颜色 
 单色 
 经典十字路口 
 彩色十字毛"
iconsPositioningSchemes,"Classic
Medium
Small
Small Deck Left
Small Deck Right
Small Vert Left
Small Vert Right
Small Horz Bottom","经典的 
 中等的 
 小的 
 小甲板左 
 小甲板右 
 小vert左 
 右边小 
 小霍兹底部"
helmAndShieldMaterialDisplay,"Off
No Leather Chain
No Leather
On","离开 
 没有皮革链 
 没有皮革 
 在"
qualitySettings,"Fastest
Fast
Simple
Good
Beautiful
Fantastic","最快的 
 快速地 
 简单的 
 好的 
 美丽的 
 极好的"
filterModes,"Point
Bilinear
Trilinear","观点 
 双线性 
 三位一体"
shadowResolutionModes,"Low
Medium
High
Very High","低的 
 中等的 
 高的 
 很高"
textureArrayLabel,Texture Arrays: ,纹理数组：
unsupported,Unsupported,不支持
enabled,Enabled,启用
disabled,Disabled,禁用
textureArrayInfo,"Improved implementation of terrain textures, with better performance and modding support",改善了地形纹理的实施，并提供更好的性能和改装支持
