Key,Value,T
about_internal_strings,This string table collection stores text that was hard-coded in FALL.EXE and text unique to Daggerfall Unity.,该字符串表集合存储在秋季中进行了硬编码的文本。Exe和匕首统一独有的文本。
pleaseSelectYourHomeProvince,Please select your home province...,请选择您的家庭省...
saveGame,Save Game,保存游戏
loadGame,Load Game,加载游戏
thingJustDied,%s just died.,％s刚刚去世。
gameSaved,Game saved.,游戏保存。
gameLoaded,Game loaded.,游戏加载。
thisHouseHasNothingOfValue,This house has nothing of value.,这所房子没有任何价值。
findLocationPrompt,Enter name of place : ,输入地点：
rightHandEquipped,Right hand equipped.,配备右手。
leftHandEquipped,Left hand equipped.,左手配备了。
usingRightHand,Using weapon in right hand.,用右手使用武器。
usingLeftHand,Using weapon in left hand.,在左手中使用武器。
itemHasBroken,%s has broken.,％s破坏了。
itemHasBrokenPlural,%s have broken.,％s坏了。
cannotCarryGold,You cannot carry that much gold.,你不能携带那么多的黄金。
cannotFloat,You are carrying too much to stay afloat.,您携带太多无法维持生计。
youHaveNoArrows,You have no arrows.,您没有箭头。
oldSaveNoTrade,"Old indoor save loaded, trade window will not work please exit and re-enter building.",旧的室内节省加载，贸易窗口将无法工作，请退出并重新进入建筑物。
theBodyHasNoTreasure,The body has no treasure.,身体没有宝藏。
youAreTooFarAway,You are too far away...,你太远了...
youSeeAn,You see an %s.,您会看到一个％s。
youSeeA,You see a %s.,您会看到一个％s。
youSeeADeadPerson,You see a dead person.,你看到一个死人。
youSeeADead,You see a dead %s.,您会看到一个死亡％s。
youCollectArrows,You pluck your arrows out of the corpse.,您将箭从尸体中摘下来。
loiterHowManyHours,Loiter how many hours : ,闲逛几个小时：
restHowManyHours,Rest how many hours : ,休息几个小时：
potionRecipeFor,Recipe for Potion of %po,％PO药水的食谱
potionOf,Potion of %po,％po药水
letterPrefix,Letter: ,信：
multipleAssignments,You have multiple assignments...,您有多个作业...
youAreEntering,You are entering %s,您正在进入％s
storeClosed,Store is closed. Open from %d1:00 to %d2:00.,商店已关闭。 从％D1：00到％D2：00开放。
guildClosed,Guild is closed. Open from %d1:00 to %d2:00.,公会是关闭的。 从％D1：00到％D2：00开放。
any,Any %s,任何％s
arkayDesc,God of Birth and Death,生死神
zenDesc,God of Work and Commerce,工作和商业之神
maraDesc,Goddess of Love,爱的女神
akatoshDesc,God of Time,时间之神
julianosDesc,God of Logic,逻辑之神
dibellaDesc,Goddess of Beauty,美丽的女神
stendarDesc,God of Mercy,怜悯之神
kynarethDesc,Goddess of Air,空气女神
interactionIsNowInMode,Interaction is now in %s mode.,相互作用现在处于％s模式。
steal,steal,偷
grab,grab,抓住
info,info,信息
dialogue,dialogue,对话
residence,Residence,住宅
youSee,You see %s.,您会看到％s。
theNamedResidence,The %s Residence,％的住所
playerResidence,%s's house,％S的房子
materialIneffective,The material of the weapon you are using is ineffective.,您使用的武器的材料无效。
successfulBackstab,Successful backstab!,成功的背刺！
languagePacified,Pacified %e using %s skill.,使用％S技能和平％e。
lockpickingSuccess,The lock clicks open.,锁定点击打开。
lockpickingFailure,It does not unlock.,它没有解锁。
magicLock,This is a magically held lock...,这是一个神奇的锁...
lockpickChance1,This lock has nothing to fear from you...,这个锁没有任何可怕的东西...
lockpickChance2,It'd be a miracle if you picked this lock...,如果您选择了这个锁，那将是一个奇迹...
lockpickChance3,This lock looks to be beyond your skills...,这个锁看起来超出了您的技能...
buildingNames,"Temple of Akatosh
Temple of Arkay
Temple of Dibella
Temple of Julianos
Temple of Kynareth
Temple of Mara
Temple of Stendarr
Temple of Zen
Order of the Raven
Knights of the Dragon
Knights of the Owl
Order of the Candle
Knights of the Flame
Host of the Horn
Knights of the Rose
Knights of the Wheel
Order of the Scarab
Knights of the Hawk
Mages Guild
Fighters Guild
Tavern
Library
Weapon Smith
Armorer
Alchemist
Bank
Bookstore
Clothing store
Gem store
Pawn shop","阿卡托什神庙 
 阿凯神庙 
 迪贝拉神庙 
 朱莉安诺斯神庙 
 凯纳斯神庙 
 玛拉神庙 
 Stendarr神庙 
 禅神庙 
 乌鸦的顺序 
 龙骑士 
 猫头鹰骑士 
 蜡烛的顺序 
 火焰骑士 
 horn 
 玫瑰骑士 
 轮子 
 scar 
 haw 
 法师协会 
 战斗机协会 
 酒馆 
 图书馆 
 武器史密斯 
 装甲 
 炼金术士 
 银行 
 书店 
 服装店 
 宝石商店 
 当铺"
lockpickChance,"You doubt your ability to open this lock...
This lock looks difficult...
You would be challenged by this lock...
This lock would prove a good challenge...
You think you should be able to pick this lock...
This lock seems relatively easy...
You are amused by this lock...
You laugh at the amateur quality of this lock...
You see a pathetic excuse for a lock...
This lock is an insult to your abilities...","您怀疑打开此锁的能力... 
 这个锁看起来很困难... 
 您会受到这个锁的挑战... 
 这个锁将是一个很好的挑战... 
 您认为您应该能够选择此锁... 
 这个锁似乎相对容易... 
 您被这个锁定... 
 你嘲笑这个锁的业余质量... 
 您会看到锁的可悲借口... 
 这个锁是对您的能力的侮辱..."
youPinchedGoldPiece,You pinched 1 gold piece.,你把1块金碎了。
youPinchedGoldPieces,You pinched %d gold pieces.,您将％d的金色碎片夹住。
youAreNotSuccessful,You are not successful...,你没有成功...
daysUntilFreedom,%d days until freedom.,％D天，直到自由。
skillImprove,Your %s skill has improved.,您的％技能已提高。
mustDistributeBonusPoints,You must distribute all bonus points.,您必须分发所有奖励积分。
enterNewName,Enter new name : ,输入新名称：
affiliation,Affiliation,联系
rank,Rank,秩
